Name	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMPDL3B	9.69884124585232	9.22938785365042	9.44630818334747	8.82397640325776	8.682340662977769	9.72776001557214	9.32605293952467	8.870143341390962	9.3054883127661	8.35975398282364	9.217170384516368	9.38560058056957	8.60177203614342	9.04032935691765	9.32476933862058	9.307331877781591	9.38598361859269	8.95500021142677	10.060117520632199	9.12966742077075	8.828234028666051	8.95111179687532	9.0289664850414
TMEM53	9.24357671295176	8.97204452184658	9.83649489707734	8.84518613404259	8.8095766032546	9.38202459897893	7.79361938284459	8.67751921817806	9.021941358711901	9.60899968506696	9.16473356664884	9.589710800393721	9.15169433465839	9.26093532209241	9.29279511571708	9.41186743158983	9.51196312564414	8.477819275169152	9.23028875443264	9.26245218533946	9.25356721100359	9.074306126689029	9.618905224872579
ENTPD5	6.07048900351164	4.66804421881433	6.922604631519929	4.42564647773913	5.99527608187442	4.47627169894141	4.13931010543296	4.78501715815393	5.50593267965356	7.46739621370224	4.1263164260244505	3.68540130716527	7.976804454242389	6.20215940823635	5.962712022522499	4.2549413726787995	4.19207080484809	4.49907992357466	6.113116744600309	3.89941899222018	4.001758114582709	4.11162888848375	5.1505727143855
CDCP1	6.33624162409533	7.67950318947886	8.16408781143275	7.50881090656443	7.011994978674901	6.6861924018531	5.64137860085561	7.6229566693254505	4.307975479799779	8.52165015786755	7.65919838419429	6.8275285005926705	4.90766958485299	7.0466614228676	7.0418504507188295	7.16104636202353	7.84385091482509	7.554512271699379	5.65469634122767	8.11889086813838	8.01330137135592	7.60816061581436	8.49212567582073
HSD17B12	3.27075287911098	1.9455537696483702	1.73510403841479	2.74834658571787	3.5391034601977904	3.3983268360543297	3.56494147794198	3.2490754418812	1.08085342002905	1.66415876647076	2.5619180027288797	5.3432796797026905	5.35694503015508	1.7235646773503	2.58647509460219	2.88879681632722	1.7093025478350703	4.20672049798598	1.70537416503584	2.13603713175583	1.98240661486545	2.48781765781112	3.397107590501
HSD17B12	6.4653326162158296	5.824005146005759	4.20629454096695	7.32341518860709	7.0910474382992	6.403507236877429	7.21153514380835	3.0777435819553705	6.488083945205999	7.5005610952173605	6.593739658220319	8.33008148163884	7.7857471826946	3.0048535286438502	6.77734732907359	4.7838624273012	6.390313037903691	8.278571963615379	7.92781846362183	7.83156404283386	7.538867396061901	6.382780084236799	7.8475104597456395
WDR78	6.7418127872710505	5.574574576349501	5.51409530014714	5.89971528313745	4.22337118969513	6.3939175144174	4.82967387921446	4.97965406478206	1.95681572672338	6.035551399287361	2.43861595778975	5.576520203039019	4.39996797979925	2.9035660687865	5.82850482752161	5.3642456879014	5.57209463354228	6.08336569433388	5.71137783435595	5.91556038550334	2.6898843957596896	5.32369690839503	5.707101467208201
WDR78	6.19975395784736	3.99005520930394	5.95616148103501	5.748974699190559	5.36384372231116	6.7122502102993	4.963508017662161	6.562809772699269	4.14820085998792	5.70308391754259	5.621778457774429	5.71495177070104	5.3803508922299805	5.92286546376273	4.27709967248302	5.03558762197531	6.62295454689121	3.55842671364299	6.06314060519394	6.63209307448915	3.66811503901187	4.98947193351818	6.237097906690249
PTPRO	4.7812581442185005	6.05027415247754	5.28672412051257	6.0100834495282	3.01553003965931	4.71530211774232	6.425288911264219	6.73443830031475	4.39195952131872	6.69713111510043	3.4412331375257303	5.36304029628414	3.6367096427992998	4.53062469719539	3.45458995042282	6.61798751316336	3.53227518665898	3.33089121404413	7.31653373126628	6.111966465061919	6.19522200672498	5.25148066849685	4.30522761165937
ZADH2	8.878930167445539	8.49877459922288	9.32697773963539	9.13020117014505	7.9481221161506	8.74935644722882	9.245053447394769	8.75082871340275	8.784451137235889	9.37234114919125	8.78483210834985	8.518139378223571	9.28046905759822	9.00154065727391	9.23325658717126	8.70902805484304	8.97242664119791	8.947312145262131	9.23071591132935	9.137791206675368	9.053863918959301	8.376928858449	8.71057240545136
FRYL	9.98572643567847	9.516693243058901	10.139187844659698	9.68517759801605	9.616343554804539	8.875435619051618	9.064465665257721	9.871357443832151	9.644946119983981	10.1611975575037	10.1589079506738	10.320590550971199	10.919382651091402	9.45594786284343	10.0289686764906	10.2391503912714	10.3183309653949	9.737988322706801	9.55514646448182	10.2359833793852	10.1232460182059	10.6149221043295	11.008195214351803
HNMT	7.77238243590842	8.04377426672659	7.327363502783849	6.7086543115709905	4.93905601174904	8.00864335754869	7.59959338372737	7.64287657751071	7.7946258736695	6.5509123126396	6.83244001296605	6.7656478900584105	5.93023337056834	7.663621944283969	7.83483335006858	8.148948509040629	7.5882518722092	5.78889322663924	8.29862757641263	7.74125815129225	7.455979335468649	6.82422634636335	7.731606163260031
CANT1	9.65602741487992	8.957817643993929	10.4116177879803	9.84823781463316	9.09150269817984	8.994740655157278	8.29873817290259	9.60489692574976	9.30131407238988	10.7906055293624	9.59920084897303	10.027010491879901	10.8941837565543	10.662954838186598	9.92891201666792	10.167440656716801	10.1433861720856	8.82627750846193	9.21156202367733	9.53726165744073	8.922879068910142	9.63572321282699	10.1046697714608
FARP2	4.98552884674553	4.01626488534749	4.67650206411388	3.90535590625554	3.7158616396912905	4.49630792207161	4.13061092166685	4.4849141929279295	2.75650796724595	4.97354313388987	3.93366601386454	3.4345393615567303	3.2692803589050197	3.27845748710967	4.63788105938578	4.74625073565537	4.39190056109191	4.9376506498256	4.8308269538719495	6.01611150384403	4.516338329979741	4.4735598413353	4.78505750310101
XRCC6BP1	4.5390683993858705	3.3606126178584503	4.60802577665243	3.4364201257813	3.68229720381898	3.59558732197698	4.34178846582402	4.06131714020329	6.13958945541571	4.390433751365831	4.85793099741585	2.89486548056655	6.235539512608139	3.81043477464805	3.5812789298153995	4.05582938441329	4.16629623135258	4.640537755518441	3.4572633243943596	3.8800779571114505	5.6113103267347695	4.04538207082977	4.1902478981124505
SIAE	-0.24773438557219501	-1.45260940005846	2.4229832223352203	0.879533259823003	-0.0578841558203697	5.39236709185301	1.05629079804164	1.7280376075319999	1.3452856566473899	3.8254190061157995	4.41519037176925	5.15336540912458	4.4536682937959995	0.523345159157198	2.2393629056177997	1.85060022386512	-0.297126179371109	2.59302312045915	2.79539376007639	1.1405221538635701	1.533529959031	3.18794981405773	0.8747788706326601
SIAE	6.0027374398371895	5.30954962133444	5.13181787101574	3.5374787223416	3.00981384051296	2.5282935045689903	3.98883017579884	3.16043119558505	4.23939941643411	5.654909992855299	5.05885268707787	4.46684119201132	4.2035270965177105	3.91421174716865	4.3621383183489	4.92279678508895	3.36638572640401	4.11251557272939	4.761780875261099	3.7713199016015397	4.0949729400001	3.91114814428493	6.1294180880974904
PADI2	7.079120794755959	6.25199995533896	5.6986956668251905	6.3673362210669895	5.276815058163599	7.6322534103474196	6.108871999875231	6.181438312072969	6.7421217943594005	7.0628775166720095	6.14485580205729	5.416143689805759	7.62350143152354	5.93754569150825	5.33377720795418	5.68549309033846	6.1905996509948595	6.1929122363813605	6.095697852684999	4.2532897525203195	4.9915414824671	7.97025925403247	6.4879805671758195
PADI2	8.481239343402152	8.50340468383822	8.28033920524325	8.61272893052356	8.39486837143195	8.71548676956134	7.857503160079419	8.47850364166035	8.46134429828872	8.83570946308825	8.061994242952059	6.692160629752441	9.22365058855608	8.336421022083629	7.857584218090089	8.159457016994299	7.506521994581861	7.9383232998206195	7.82887570376127	8.076264494508969	8.04794679899988	8.874210964094269	8.41463814293587
KIAA1217	8.26104511674026	7.62156698514135	9.079924016263869	8.52805461744955	8.180097637935441	7.6910150446849	7.2392079439653205	7.884725952051821	7.29502072429005	9.04752384864743	8.6928536287141	8.23770377278049	7.061734244355191	8.918809021922439	8.05665342347059	8.34595134037383	8.35406761075795	8.13211372718884	7.688622654769759	7.95127199587826	8.661601433400769	8.50362693443501	8.721850486743321
