Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FAM195A	8.28771237954945	8.77214959078454	7.736063627871809	8.926295994781109	9.86526930717486	8.65892551149237	8.36018867006271	8.065550770955019	8.309248960816621	8.78234303404953	8.22400167419811	8.12722055048807	8.81858217748086	8.45697038112101	8.391028726810191	8.20799043323296	8.472081550133609	9.59077415776056	9.05256805080415	8.69209237542757	9.096978636370538	8.856425528625529	9.22689381357139	8.64421681845824
B4GALNT3	6.121015400961371	5.83035674741922	4.4396231375571205	6.4093909361377	3.62058641045188	5.116863757690901	7.055282435501191	5.1779177921958395	7.27612440527424	7.1779177921958395	3.98185265328974	3.6553518286125497	3.2172307162206697	5.27426166125705	6.39746072605472	5.875288598222691	6.63226821549951	6.20359271420771	6.83035674741922	7.0279059965698805	6.85424505422013	4.930737337562889	6.32732808262995	6.593951283948411
AK7	6.187846909439571	5.32912359629157	4.99095486039699	6.002252451731381	4.85299758761332	5.8201789624151905	5.01346225980656	5.381975478557299	4.39231742277876	5.1456774551956395	4.08746284125034	4.560714954474481	4.74953426766926	5.62643913669732	5.35049724708413	4.64961545906341	5.50143914515887	6.60139939053183	4.94016675048282	6.048759311919861	6.4757334309664	5.05311133645956	5.21334728173344	6.27612440527424
ZBTB3	6.846744023244869	5.3327079336406	5.06177619758669	6.56071495447448	6.44625622988956	5.97498811199193	5.96578428466209	6.75622271284729	5.91408609701272	6.05961485629722	6.2479275134435905	5.65248649491816	6.8150630171928706	6.93663793900257	6.39746072605472	6.563768278452031	3.60880924267552	6.0156938071051504	6.894817763307941	6.6724253419715	6.80992886572143	5.27426166125705	6.13750352374994	6.4757334309664
ALG14	9.260684356379661	8.88447581908648	9.19991768027457	9.25053529419631	9.1168637576909	8.683696454306519	8.50620838930674	8.74685018309805	8.8999610665839	9.266318057157461	8.85517994681633	9.10643207781693	8.89269459141497	9.42101285577923	8.54920708935568	8.4549161375148	8.722807531169549	9.043574173305759	9.01652974824349	9.32147718222831	8.71664800788143	8.5018371849023	9.36282052553426	9.18685706717715
ZNF564	6.86913111964429	6.68790052248075	7.25644459647344	6.3871557176629805	7.240314329333709	6.83035674741922	7.29920801838728	6.64241277290506	6.679480099505451	7.4262647547021	7.0279059965698805	6.835418840475481	7.013462259806559	7.035623909730719	7.0703893278914	6.67101024127845	6.63807383718072	6.6567823642190005	6.8715972656138495	7.12205144771389	6.44128427192704	7.14873077917319	7.27239650903749	6.82145511910246
ADAT3	3.99095486039699	5.979568100095191	6.52042224852645	6.28169825009883	5.33628338786443	5.63226821549951	5.71699089440494	5.7279204545632005	5.8923910259134	5.74416109557041	5.669593751188331	5.0	5.4396231375571205	5.62643913669732	5.73335434061383	6.2479275134435905	6.36806987653208	6.035623909730719	5.60288440871842	6.47897180503294	5.73876783680019	6.427941332509481	5.40258575823259	5.9518675043269
ADAT3	6.055282435501191	7.894817763307941	7.22593041117105	7.22593041117105	7.742814669862891	7.736063627871809	7.13852780142228	7.048759311919861	7.69278983497265	7.4178525148859	6.92481250360578	7.721099188707191	7.8820316083521	6.99774402605963	7.393175914348809	7.75020450927987	8.13493964349298	7.991521846075701	7.683696454306519	7.536830005048059	7.7045953476324	7.708049251702219	7.31741261376487	7.47735352663456
LLGL2	7.66035250967092	7.617651119427331	7.251719092605961	8.229780166733331	8.55074678538324	7.8856963733394005	7.751544059089099	7.76752238622854	8.18437948621294	8.59208323365389	7.2658494214408496	7.14465824283188	8.16942397867607	7.02125762056052	7.68439798363757	7.497452695977241	8.20603754624659	8.026800059343719	8.49185309632968	8.09539702279256	8.842664621825	8.254556251909491	8.38370429247405	7.903881845736179
MYO10	5.004501392234941	4.300123724569009	5.24792751344359	5.92124588858559	5.41278152533848	5.378511623253731	4.2779847472997705	5.5235619560570095	5.74146698640115	5.845490050944379	4.37851162325373	5.12928301694497	6.41278152533848	5.80992886572143	5.57893871309339	4.9164766444377195	6.83668159332712	6.3663222142458205	6.53294028837287	6.62497817956904	5.85299758761332	5.318316841334981	5.3327079336406	5.399171093819821
