Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
MGST3	9.491342164	10.20367494	10.984885	10.820621899999999	10.40720162	10.64069915	10.09146315	10.49123511	10.57716118	10.49041831	10.33612936	10.20042271	10.20807089	10.36916706	10.80243462	10.53901962	10.76075466	10.18336642	10.55019463	10.74617898	10.93571495	10.78289076	10.52561173
FMO4	5.951149869	6.151944962000001	5.948148681	6.568074986	6.044419969	5.832104836	6.2657629660000005	6.297122121	6.283933462999999	6.009109991	6.282388688999999	6.27136813	5.634841066	6.4391973060000005	6.499329991000001	6.758087872000001	6.76212581	6.08777618	6.149118039	6.561603882999999	6.791342367	6.861141158	6.251209479
PRDX6	8.932076579	9.551620262	9.409019762	9.358341063	9.382711354	9.45358928	9.143348646	8.854887782	8.910944785	8.953890658999999	9.086423773	9.173471736	8.761235904	9.148319858999999	8.939990558	9.466492243	9.977564939	8.770138087000001	8.990554732	9.139439562	9.683863732	9.55347743	9.312131522
DARS2	7.8405398570000004	7.8673848920000005	8.265152594	8.052734036	8.383005219	8.305280389	8.087473201	7.66779167	7.6692784739999995	7.961454552	7.933129352000001	7.907975834	7.487349025	8.210275227	8.274922093999999	8.013054436000001	8.197806557	7.877403782000001	8.079974131	8.138973102000001	8.629973986	8.130189227999999	8.141700388
LAMC2	10.005025	9.667435999	9.83261018	9.386491285	10.02962003	10.60903047	10.15467999	10.26960099	10.175629800000001	9.415421485	9.342747882000001	9.779987402	8.966685863	10.61658777	9.592803969	9.657839816000001	10.03031302	10.29102199	9.986196198	9.306588811000001	9.372765712	10.013322500000001	10.12391505
NR5A2	7.893205417000001	9.021805844	9.526493269	9.234944137000001	9.373155759	8.395905004	8.952655055	8.275011073	9.525366555	8.752295907	9.030661075	8.374648700000002	8.160280612000001	9.015947538999999	9.331762315	9.087018127	9.270747581	8.111725502999999	8.183122102	9.453357179	9.50855863	9.09299645	9.281606061
RNPEP	9.509698422	9.999607396	10.42695342	10.03379349	10.24566701	10.06389156	9.828897103	9.932168786	9.992004252000001	9.817921564	9.880854721	9.523843083	9.400583327	9.951982316	10.16378095	10.20952892	10.54950667	9.877126927	10.00050124	9.806392087999999	10.475762	10.1364993	9.813472868
CDK18	6.914672811	7.436085745	7.542090527	7.772513225	7.347621504	7.447217573	7.172086387999999	7.484064547999999	7.973127588	7.314704795	7.702934218999999	6.984402291	7.2672847670000005	7.1591605629999995	7.721614282000001	7.610295399	7.584443364	7.066537117999999	7.804531449	7.539101764	7.53712252	7.321671749	7.658328847999999
PFKFB2	7.357245793	7.583927711	8.375813684	8.468950997	8.106203966	8.339599812000001	7.909490006	8.08358645	8.116059618	8.004945646	7.803880229	7.819396092000001	6.907773903	8.225092821	8.69343708	8.776282116	8.493298922000001	7.787162169	8.513592676	7.952870347	8.808437908	8.511626958999999	8.240997265
SPATA17	4.614204787	4.8204928680000005	4.829124223	4.860242466	5.420146687999999	4.992240985	5.113839755	4.7464384630000005	4.887812332	5.141543706	5.151773908	4.49786767	4.692371693	4.7210931380000005	5.339585813	4.785870183	5.158607685	4.981846053	5.152278497	4.735343436	5.251476343	4.999956402	5.2244379080000005
